Front,Back
He has domain over the [[wretched]] shades.,"비참한, 불쌍한
/ˈrɛtʃɪd/, adjective
그는 비참한 망자들을 지배한다.
miserable, pitiable, pitiful, sorry
형편없는; 불쾌한"
Not even he could stop what would [[transpire]].,"일어나다, 벌어지다
/trænˈspaɪr/, verb
그조차 무슨 일이 벌어질지를 막을 수는 없었다.
happen, occur, take place, come about
(비밀 등이) 알려지다; 증발하다"
We Olympians rarely consort with the [[chthonic]] gods.,"지하 세계의, 명계의
/ˈθɑːnɪk/, adjective
우리 올림포스 신들은 명계의 신들과 좀처럼 어울리지 않는다.
underworld, subterranean, netherworld, infernal
대지의; 지하의"
All these river [[denizens]] you've caught.,"거주자, 주민
/ˈdɛnəzən/, noun
네가 잡은 이 강의 거주자들 말이야.
inhabitant, resident, dweller, occupant
단골손님; 특정 집단의 일원"
The god of war is thus [[preoccupied with]] me.,"~에 사로잡혀 있는, ~에 마음이 빼앗긴
/priˈɑːkjəˌpaɪd wɪð/, adjective
전쟁의 신은 지금 내게 마음이 빼앗겨 있다.
absorbed in, engrossed in, obsessed with, consumed with
-"
A [[willful]] son of a fickle god.,"고집 센, 제멋대로인
/ˈwɪlfəl/, adjective
변덕스러운 신의 제멋대로인 아들이지.
headstrong, stubborn, self-willed, wayward
고의적인, 일부러 하는"
Join us in the [[splendor]] of Olympus!,"찬란함, 장관
/ˈsplɛndər/, noun
올림포스의 찬란함 속으로 우리와 함께하라!
magnificence, grandeur, brilliance, glory
-"
I expect for you to show [[deference]] to her.,"공손한 존중, 경의
/ˈdɛfərəns/, noun
네가 그녀에게 공손한 존중을 보이길 바란다.
respect, reverence, homage, regard
양보; 따름"
You start to get [[accustomed to]] the emotional pain.,"~에 익숙해진
/əˈkʌstəmd tuː/, adjective
너는 감정적인 고통에 점점 익숙해지기 시작한다.
used to, familiar with, habituated to, inured to
-"
Those [[Infernal]] Arms of yours are hard to ignore.,"지옥의, 지하 세계의
/ɪnˈfɝːnəl/, adjective
네 그 지옥의 무기들은 도저히 못 본 척하기 어렵다.
hellish, demonic, fiendish, underworld
지독한; 몹시 짜증 나는"
You take that monstrous [[artifact]] for another friend?,"유물, 인공물
/ˈɑːrtəˌfækt/, noun
네가 그 괴물 같은 유물을 또 다른 친구로 여긴단 말이냐?
relic, object, item, antiquity
(실험·영상의) 인공 산물"
